Date,Open,High,Low,Close,Adj Close,Volume
12/20/2016,21767.60938,21873.56055,21667.18945,21729.06055,21729.06055,1297152100
12/21/2016,21770.89063,21910.39063,21755.84961,21809.80078,21809.80078,1206759600
12/22/2016,21800.2207,21822.17969,21594.58008,21636.19922,21636.19922,1434735500
12/23/2016,21553.7793,21601.07031,21491.83008,21574.75977,21574.75977,1775512200
12/28/2016,21562.69922,21811.96094,21488.82031,21754.74023,21754.74023,2173239900
12/29/2016,21591.03906,21810.40039,21587.07031,21790.91016,21790.91016,1875142100
12/30/2016,21818.91016,22069.61914,21818.91016,22000.56055,22000.56055,2396676500
1/3/2017,21993.35938,22189.31055,21883.82031,22150.40039,22150.40039,1302378400
1/4/2017,22201.08008,22228.06055,22076.63086,22134.4707,22134.4707,1437672200
1/5/2017,22302.64063,22483.00977,22230.31055,22456.68945,22456.68945,1830652300
1/6/2017,22583.28906,22605.66016,22445.7793,22503.00977,22503.00977,1389973700
1/9/2017,22561.10938,22626.42969,22476.34961,22558.68945,22558.68945,1303532900
1/10/2017,22561.16992,22744.84961,22549.85938,22744.84961,22744.84961,1422515900
1/11/2017,22816.00977,22944.58008,22767.36914,22935.34961,22935.34961,1554104200
1/12/2017,22956.43945,22971.49023,22751.66992,22829.01953,22829.01953,1454667000
1/13/2017,22879.57031,22971.44922,22859.2793,22937.38086,22937.38086,1371840300
1/16/2017,22895.35938,22908.85938,22657.34961,22718.15039,22718.15039,1313357700
1/17/2017,22819.86914,22867.83984,22710.92969,22840.9707,22840.9707,1019618000
1/18/2017,22889.33008,23151.75,22882.01953,23098.25977,23098.25977,1689344500
1/19/2017,23104.34961,23104.34961,22941.96094,23049.96094,23049.96094,1174126300
1/20/2017,22966.5293,22987.67969,22858.25,22885.91016,22885.91016,1207476100
1/23/2017,22926.30078,23068.08008,22861.28906,22898.51953,22898.51953,1068403800
1/24/2017,22965.25,22986.44922,22907.7793,22949.85938,22949.85938,1462887100
1/25/2017,23066.40039,23066.40039,22961.38086,23049.11914,23049.11914,1185813200
1/26/2017,23173.46094,23386.41016,23145.31055,23374.16992,23374.16992,1856554500
1/27/2017,23339.15039,23397.08984,23307.05078,23360.7793,23360.7793,777897700
2/1/2017,23211.88086,23318.39063,23082.61914,23318.39063,23318.39063,1515037600
2/2/2017,23309.46094,23439.01953,23131.36914,23184.51953,23184.51953,987795900
2/3/2017,23216.9707,23226.91992,22997.46094,23129.21094,23129.21094,1339282100
2/6/2017,23239.28906,23348.24023,23149.69922,23348.24023,23348.24023,1439947300
2/7/2017,23287.89063,23403.59961,23256.68945,23331.57031,23331.57031,1523355600
